,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,R,F,Score,고객등급
2630,1355013632,정상회원,수지구-풍덕천동,여,38.0,미신청,미수신,normal,30대,6,2,11026.000000000002,5
2631,1355279040,정상회원,기타-기타,여,40.0,미신청,미수신,normal,40대,159,11,104826.00000000001,3
2632,1355312448,정상회원,분당구-백현동,여,50.0,미신청,미수신,normal,50대,113,3,3336.2000000000003,1
2633,1355356992,정상회원,수지구-신봉동,여,36.0,미신청,미수신,normal,30대,4,12,95454.80000000002,3
2634,1355614976,정상회원,수원 권선구-기타,여,43.0,미신청,미수신,normal,40대,60,1,3963.9000000000005,5
2635,1355659520,정상회원,수지구-상현동,여,64.0,미신청,미수신,normal,60대,121,4,59847.7,3
2636,1355666944,정상회원,수지구-풍덕천동,여,45.0,미신청,미수신,normal,40대,275,1,8494.199999999999,5
2637,1356171776,정상회원,기타-기타,남,54.0,미신청,미수신,normal,50대,14,1,4590.500000000001,5
2638,1356284992,정상회원,수지구-기타,여,71.0,미신청,미수신,normal,70대,2,42,734650.4,2
2639,1356533696,정상회원,수지구-성복동,여,64.0,미신청,미수신,normal,60대,26,8,40963.4,4
2640,1356671040,정상회원,수지구-풍덕천동,여,45.0,미신청,미수신,normal,40대,34,2,6269.600000000001,5
2641,1356691456,정상회원,기타-기타,남,35.0,미신청,미수신,normal,30대,114,1,8236.499999999998,5
2642,1356710016,정상회원,수지구-상현동,여,37.0,미신청,미수신,normal,30대,113,3,27457.4,4
2643,1356806528,정상회원,기타-기타,여,32.0,미신청,미수신,normal,30대,39,2,43997.700000000004,4
2644,1356906752,정상회원,수지구-풍덕천동,여,48.0,미신청,수신,normal,40대,5,60,346224.10000000003,2
2645,1356973568,정상회원,수지구-풍덕천동,여,39.0,미신청,미수신,normal,30대,11,6,32505.300000000003,4
2646,1357045952,정상회원,수지구-상현동,남,46.0,신청,미수신,normal,40대,33,22,296845.89999999997,2
2647,1357188864,정상회원,기타-기타,여,32.0,미신청,미수신,normal,30대,228,1,1769.8999999999999,1
2648,1357200000,정상회원,기흥구-마북동,여,36.0,미신청,미수신,normal,30대,30,1,4968.900000000001,5
2649,1357205568,정상회원,수지구-풍덕천동,여,45.0,미신청,미수신,normal,40대,40,3,5234.5,5
2650,1357513664,정상회원,수지구-풍덕천동,여,54.0,미신청,미수신,normal,50대,1,35,120389.8,3
2651,1357625024,정상회원,기흥구-신갈동,여,61.0,미신청,미수신,normal,60대,29,2,4548.300000000001,5
2652,1357643584,정상회원,수지구-성복동,여,55.0,미신청,미수신,normal,50대,68,9,30421.100000000002,4
2653,1357682560,정상회원,수지구-풍덕천동,여,70.0,미신청,미수신,normal,70대,94,3,17125.9,4
2654,1357721536,정상회원,기타-기타,여,38.0,미신청,미수신,normal,30대,70,1,17515.3,4
2655,1358024064,정상회원,수지구-동천동,여,46.0,미신청,미수신,normal,40대,161,3,24686.600000000002,4
2656,1358057472,정상회원,수지구-상현동,여,39.0,미신청,미수신,normal,30대,8,8,127118.0,3
2657,1358256064,정상회원,기타-기타,여,52.0,미신청,미수신,normal,50대,70,1,2812.5000000000005,1
2658,1358382272,정상회원,수지구-상현동,여,43.0,미신청,미수신,normal,40대,24,2,22353.8,4
2659,1358514048,정상회원,기타-기타,여,38.0,미신청,미수신,normal,30대,0,12,134056.40000000002,3
2660,135862912,정상회원,수지구-동천동,여,72.0,미신청,미수신,normal,70대,2,1,-8729.900000000001,1
2661,1358772032,정상회원,광주-기타,여,39.0,미신청,미수신,normal,30대,9,3,50309.00000000001,4
2662,135883328,정상회원,수지구-동천동,여,70.0,미신청,미수신,normal,70대,15,11,108661.20000000001,3
2663,135900032,정상회원,수지구-동천동,여,64.0,미신청,미수신,normal,60대,188,1,3696.3,1
2664,1359024448,정상회원,수지구-풍덕천동,여,36.0,미신청,미수신,normal,30대,81,1,14142.800000000001,5
2665,1359380800,정상회원,수지구-신봉동,여,43.0,미신청,미수신,normal,40대,282,1,27712.9,4
2666,1359399360,정상회원,기타-기타,여,45.0,미신청,미수신,normal,40대,282,1,6960.900000000001,5
2667,1359445760,정상회원,수지구-풍덕천동,여,43.0,미신청,미수신,normal,40대,189,2,9056.7,5
2668,1359481024,정상회원,수지구-상현동,여,42.0,신청,미수신,normal,40대,1,16,191223.7,2
2669,1359512576,정상회원,수지구-풍덕천동,여,72.0,미신청,미수신,normal,70대,2,14,115863.59999999999,3
2670,1359558976,정상회원,수지구-상현동,여,81.0,미신청,미수신,normal,80대,71,6,11964.1,5
2671,1359570112,정상회원,기타-기타,여,71.0,미신청,미수신,normal,70대,284,1,3131.5000000000005,1
2672,1359635072,정상회원,수원 팔달구-기타,여,37.0,미신청,미수신,normal,30대,12,3,8191.299999999999,5
2673,1359781696,정상회원,기타-기타,여,34.0,미신청,미수신,normal,30대,152,1,3936.7000000000003,5
2674,1359854080,정상회원,수지구-풍덕천동,여,36.0,미신청,수신,normal,30대,14,7,70562.70000000001,3
2675,1359961728,정상회원,기흥구-공세동,여,54.0,미신청,미수신,normal,50대,240,1,5901.1,5
2676,1360065664,정상회원,수지구-풍덕천동,남,39.0,미신청,미수신,normal,30대,241,2,6513.900000000001,5
2677,1360149184,정상회원,수지구-풍덕천동,여,35.0,미신청,미수신,normal,30대,163,2,1942.5,1
2678,1360292096,정상회원,기타-기타,여,53.0,미신청,미수신,normal,50대,40,8,68641.59999999999,3
2679,1360980672,정상회원,기흥구-보정동,여,27.0,미신청,미수신,normal,20대,56,1,26632.300000000003,4
2680,1361244224,정상회원,기타-기타,남,37.0,미신청,미수신,normal,30대,211,4,23025.500000000004,4
2681,1361324032,정상회원,수지구-상현동,여,38.0,미신청,미수신,normal,30대,289,1,8949.599999999999,5
2682,1361582016,정상회원,수지구-신봉동,여,41.0,미신청,미수신,normal,40대,29,9,91357.20000000001,3
2683,1361875264,정상회원,기흥구-보정동,여,38.0,미신청,미수신,normal,30대,174,2,31881.2,4
2684,1361880832,정상회원,수지구-상현동,여,39.0,미신청,미수신,normal,30대,4,4,15966.0,4
2685,1361891968,정상회원,기타-기타,여,44.0,미신청,미수신,normal,40대,157,1,9601.599999999999,5
2686,1362608384,정상회원,서울 송파구-기타,여,38.0,미신청,미수신,normal,30대,292,1,8067.900000000001,5
2687,1362617664,정상회원,수지구-신봉동,여,38.0,미신청,미수신,normal,30대,211,1,4723.0,5
2688,1362643648,정상회원,수지구-풍덕천동,여,31.0,미신청,미수신,normal,30대,87,5,26930.600000000002,4
2689,1363001856,정상회원,수지구-죽전동,여,37.0,미신청,미수신,normal,30대,114,10,57768.8,4
2690,1363105792,정상회원,수지구-풍덕천동,여,33.0,미신청,미수신,normal,30대,79,6,40448.90000000001,4
2691,1363244992,정상회원,수지구-신봉동,여,71.0,미신청,미수신,normal,70대,21,15,18873.800000000003,4
2692,1363391616,정상회원,분당구-구미동,여,37.0,신청,미수신,normal,30대,0,19,188615.7,2
2693,1363842624,정상회원,수지구-풍덕천동,남,77.0,미신청,미수신,normal,70대,42,10,124044.0,3
2694,1364147008,정상회원,수지구-풍덕천동,여,34.0,미신청,미수신,normal,30대,5,9,48190.8,4
2695,1364399424,정상회원,수지구-성복동,여,32.0,미신청,미수신,normal,30대,12,8,71459.99999999999,3
2696,1364412416,정상회원,수지구-성복동,여,49.0,미신청,미수신,normal,40대,101,1,3798.8,1
2697,1364521920,정상회원,수지구-풍덕천동,여,43.0,미신청,미수신,normal,40대,8,2,13590.2,5
2698,1364572032,정상회원,수지구-동천동,여,51.0,미신청,미수신,normal,50대,220,1,3839.9000000000005,1
2699,1364685248,정상회원,수지구-풍덕천동,여,35.0,미신청,미수신,normal,30대,275,2,5699.700000000001,5
2700,1364889408,탈퇴,기타-기타,여,35.0,미신청,미수신,normal,30대,160,5,12550.300000000001,5
2701,1365652224,정상회원,수지구-성복동,여,45.0,미신청,미수신,normal,40대,12,17,142188.7,3
2702,1366288832,정상회원,수지구-풍덕천동,여,53.0,미신청,미수신,normal,50대,67,1,4728.2,5
2703,136644288,정상회원,기흥구-마북동,여,62.0,미신청,미수신,normal,60대,1,15,91167.8,3
2704,1366576512,정상회원,기타-기타,여,61.0,미신청,미수신,normal,60대,108,1,3337.1000000000004,1
2705,1366934720,정상회원,수지구-풍덕천동,여,31.0,미신청,미수신,normal,30대,51,2,4388.5,5
2706,1366949568,정상회원,수지구-풍덕천동,여,37.0,미신청,미수신,normal,30대,15,4,64933.5,3
2707,1367008960,정상회원,수지구-상현동,여,41.0,미신청,미수신,normal,40대,11,3,29671.200000000004,4
2708,1367315200,정상회원,수지구-성복동,여,35.0,미신청,미수신,normal,30대,158,2,12550.000000000002,5
2709,1367755072,정상회원,수지구-상현동,여,64.0,신청,미수신,normal,60대,5,28,263546.10000000003,2
2710,1368165248,정상회원,기흥구-죽전동,여,35.0,미신청,미수신,normal,30대,7,13,86150.2,3
2711,1368326720,정상회원,수지구-풍덕천동,여,39.0,미신청,미수신,normal,30대,125,3,11526.2,5
2712,1368761024,정상회원,분당구-야탑동,여,38.0,미신청,수신,normal,30대,119,2,2568.5000000000005,1
2713,1368916928,정상회원,분당구-구미동,여,37.0,미신청,수신,normal,30대,84,74,522815.80000000005,2
2714,1369057984,정상회원,기흥구-보정동,여,39.0,미신청,수신,normal,30대,14,67,372329.5,2
2715,1369095104,정상회원,분당구-백현동,여,41.0,미신청,미수신,normal,40대,42,1,19208.5,4
2716,1369186048,정상회원,수지구-죽전동,여,46.0,미신청,미수신,normal,40대,2,11,50887.90000000001,4
2717,1369282560,정상회원,기타-기타,남,41.0,미신청,미수신,normal,40대,34,8,47966.200000000004,4
2718,1369299264,정상회원,분당구-기타,여,58.0,미신청,미수신,normal,50대,302,1,5844.5,5
2719,136933824,정상회원,수지구-성복동,여,69.0,미신청,미수신,normal,60대,4,10,120456.6,3
2720,1369395776,정상회원,수지구-상현동,여,40.0,미신청,미수신,normal,40대,249,1,2758.8000000000006,1
2721,1369496000,정상회원,수지구-상현동,여,36.0,미신청,미수신,normal,30대,12,2,10105.0,5
2722,1369976704,정상회원,수지구-죽전동,남,37.0,미신청,미수신,normal,30대,204,1,2389.5000000000005,1
2723,1370188288,정상회원,수지구-풍덕천동,여,45.0,미신청,미수신,normal,40대,152,2,19864.600000000002,4
2724,137061888,정상회원,수지구-신봉동,여,77.0,미신청,미수신,normal,70대,29,21,134082.8,3
2725,1370782208,정상회원,수지구-풍덕천동,여,51.0,미신청,미수신,normal,50대,32,3,32996.100000000006,4
2726,1370888000,정상회원,수지구-풍덕천동,여,41.0,미신청,미수신,normal,40대,50,20,83420.6,3
2727,1371056896,정상회원,수지구-신봉동,남,38.0,미신청,미수신,normal,30대,64,1,9783.099999999999,5
2728,1371103296,정상회원,수원 영통구-기타,여,56.0,미신청,미수신,normal,50대,298,1,19820.899999999998,4
2729,137112000,정상회원,기타-기타,여,58.0,미신청,미수신,normal,50대,39,5,50224.600000000006,4
2730,1371333440,정상회원,기타-기타,여,38.0,미신청,미수신,normal,30대,25,1,6654.8,5
2731,1371591424,정상회원,수원 영통구-기타,여,40.0,미신청,미수신,normal,40대,94,1,890.9,1
2732,1371893952,정상회원,수지구-상현동,여,36.0,미신청,미수신,normal,30대,134,1,5052.500000000001,5
2733,1372088832,정상회원,수지구-풍덕천동,여,42.0,미신청,미수신,normal,40대,5,31,147158.19999999998,3
2734,1372105536,정상회원,수지구-신봉동,여,54.0,미신청,수신,normal,50대,4,58,835619.8000000002,2
2735,1372361664,정상회원,기흥구-언남동,여,43.0,미신청,미수신,normal,40대,276,1,989.5,1
2736,1372471168,정상회원,수지구-상현동,여,39.0,신청,미수신,normal,30대,9,23,266773.80000000005,2
2737,137247488,정상회원,기흥구-청덕동,여,59.0,미신청,미수신,normal,50대,242,1,7891.7,5
2738,1372506432,정상회원,수지구-동천동,여,43.0,미신청,미수신,normal,40대,65,1,15870.4,4
2739,1372814528,정상회원,처인구-기타,여,40.0,미신청,미수신,normal,40대,2,9,214033.7,2
2740,1372942592,정상회원,분당구-구미동,여,45.0,미신청,미수신,normal,40대,85,1,2195.6000000000004,1
2741,1372957440,정상회원,수지구-풍덕천동,여,30.0,미신청,미수신,normal,30대,247,1,5669.400000000001,5
2742,1373159744,정상회원,기타-기타,여,35.0,미신청,미수신,normal,30대,249,16,140464.9,3
2743,1373278528,정상회원,수지구-상현동,여,31.0,신청,미수신,normal,30대,7,31,414561.2,2
2744,1373465984,정상회원,분당구-이매동,여,49.0,미신청,미수신,normal,40대,296,1,6152.3,5
2745,1373627456,정상회원,수지구-기타,여,62.0,미신청,미수신,normal,60대,3,60,710447.5,2
2746,1373755520,정상회원,기흥구-보정동,여,64.0,미신청,미수신,normal,60대,8,26,145615.0,3
2747,1374264064,정상회원,수지구-동천동,남,39.0,미신청,미수신,normal,30대,112,1,3335.9000000000005,1
2748,1374490496,정상회원,수지구-죽전동,여,53.0,미신청,미수신,normal,50대,296,1,3893.5,1
2749,137449792,정상회원,기타-기타,여,49.0,미신청,미수신,normal,40대,81,1,9624.800000000001,5
2750,1374846848,정상회원,수지구-상현동,남,49.0,미신청,미수신,normal,40대,45,14,150157.50000000003,3
2751,1374921088,정상회원,수정구-위례(창곡)동,여,36.0,미신청,미수신,normal,30대,99,2,15668.9,4
2752,1375039872,정상회원,수지구-풍덕천동,여,39.0,미신청,미수신,normal,30대,57,24,150370.5,3
2753,1375062144,정상회원,기흥구-보정동,여,38.0,미신청,미수신,normal,30대,183,8,57073.9,4
2754,1375128960,정상회원,분당구-수내동,여,45.0,미신청,미수신,normal,40대,223,1,11266.6,5
2755,1375229184,정상회원,수지구-풍덕천동,여,37.0,미신청,미수신,normal,30대,235,1,1461.4,1
2756,137557440,정상회원,기타-기타,여,63.0,미신청,미수신,normal,60대,189,1,1475.2,1
2757,1375641216,정상회원,수지구-죽전동,여,50.0,미신청,수신,normal,50대,216,1,7899.5,5
2758,1375923328,정상회원,수지구-풍덕천동,여,43.0,미신청,미수신,normal,40대,163,6,163635.30000000002,2
2759,1376014272,정상회원,수지구-성복동,여,81.0,미신청,미수신,normal,80대,12,2,55132.200000000004,4
2760,137650240,정상회원,수지구-동천동,여,49.0,미신청,미수신,normal,40대,107,2,41319.700000000004,4
2761,1376506112,정상회원,수지구-신봉동,여,34.0,미신청,미수신,normal,30대,15,13,124666.2,3
2762,1376771520,정상회원,수지구-동천동,여,36.0,미신청,수신,normal,30대,177,1,2704.0000000000005,1
2763,1376819776,정상회원,수지구-풍덕천동,여,45.0,미신청,미수신,normal,40대,13,14,54370.299999999996,4
2764,1376843904,정상회원,수지구-풍덕천동,여,30.0,미신청,미수신,normal,30대,3,22,101622.90000000002,3
2765,1376851328,정상회원,수지구-동천동,여,28.0,미신청,미수신,normal,20대,54,9,78400.90000000001,3
